[Wed Dec 30 14:10:59 2015] [error] [client 127.0.0.1] File does not exist: /Users/GS/gcm-send/favicon.ico, referer: http://local.gcm-send.com/
[Wed Dec 30 14:36:48 2015] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function Select() on a non-object in /Users/GS/gcm-send/gcm.php on line 28
[Wed Dec 30 14:37:25 2015] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function Select() on a non-object in /Users/GS/gcm-send/gcm.php on line 29
[Wed Dec 30 14:40:25 2015] [error] [client 127.0.0.1] PHP Warning:  require_once(/Users/GS/gcm-send/cDB.class.php): failed to open stream: No such file or directory in /Users/GS/gcm-send/lib/header.php on line 45
[Wed Dec 30 14:40:25 2015] [error] [client 127.0.0.1] PHP Fatal error:  require_once(): Failed opening required '/Users/GS/gcm-send/cDB.class.php' (include_path='.:') in /Users/GS/gcm-send/lib/header.php on line 45
[Wed Dec 30 14:44:39 2015] [error] [client 127.0.0.1] PHP Warning:  require_once(/Users/GS/gcm-send/cDB.class.php): failed to open stream: No such file or directory in /Users/GS/gcm-send/lib/header.php on line 45
[Wed Dec 30 14:44:39 2015] [error] [client 127.0.0.1] PHP Fatal error:  require_once(): Failed opening required '/Users/GS/gcm-send/cDB.class.php' (include_path='.:') in /Users/GS/gcm-send/lib/header.php on line 45
[Wed Dec 30 14:45:09 2015] [error] [client 127.0.0.1] PHP Warning:  include(/Users/GS/gcm-send/cDB.class.php): failed to open stream: No such file or directory in /Users/GS/gcm-send/lib/header.php on line 46
[Wed Dec 30 14:45:09 2015] [error] [client 127.0.0.1] PHP Warning:  include(): Failed opening '/Users/GS/gcm-send/cDB.class.php' for inclusion (include_path='.:') in /Users/GS/gcm-send/lib/header.php on line 46
[Wed Dec 30 14:45:09 2015] [error] [client 127.0.0.1] PHP Warning:  require_once(/Users/GS/gcm-send/cLIB.class.php): failed to open stream: No such file or directory in /Users/GS/gcm-send/lib/header.php on line 47
[Wed Dec 30 14:45:09 2015] [error] [client 127.0.0.1] PHP Fatal error:  require_once(): Failed opening required '/Users/GS/gcm-send/cLIB.class.php' (include_path='.:') in /Users/GS/gcm-send/lib/header.php on line 47
[Wed Dec 30 14:45:41 2015] [error] [client 127.0.0.1] PHP Warning:  include(/Users/GS/gcm-send/cDB.class.php): failed to open stream: No such file or directory in /Users/GS/gcm-send/lib/header.php on line 47
[Wed Dec 30 14:45:41 2015] [error] [client 127.0.0.1] PHP Warning:  include(): Failed opening '/Users/GS/gcm-send/cDB.class.php' for inclusion (include_path='.:') in /Users/GS/gcm-send/lib/header.php on line 47
[Wed Dec 30 14:45:41 2015] [error] [client 127.0.0.1] PHP Warning:  include(/Users/GS/gcm-send/cLIB.class.php): failed to open stream: No such file or directory in /Users/GS/gcm-send/lib/header.php on line 48
[Wed Dec 30 14:45:41 2015] [error] [client 127.0.0.1] PHP Warning:  include(): Failed opening '/Users/GS/gcm-send/cLIB.class.php' for inclusion (include_path='.:') in /Users/GS/gcm-send/lib/header.php on line 48
[Wed Dec 30 14:45:41 2015] [error] [client 127.0.0.1] PHP Fatal error:  Class 'cLIB' not found in /Users/GS/gcm-send/lib/header.php on line 55
[Wed Dec 30 14:47:52 2015] [error] [client 127.0.0.1] PHP Warning:  require_once(/Users/GS/gcm-send/cDB.class.php): failed to open stream: No such file or directory in /Users/GS/gcm-send/lib/header.php on line 45
[Wed Dec 30 14:47:52 2015] [error] [client 127.0.0.1] PHP Fatal error:  require_once(): Failed opening required '/Users/GS/gcm-send/cDB.class.php' (include_path='.:') in /Users/GS/gcm-send/lib/header.php on line 45
[Wed Dec 30 14:57:19 2015] [error] [client 127.0.0.1] PHP Warning:  require_once(/Users/GS/gcm-send/cDB.class.php): failed to open stream: No such file or directory in /Users/GS/gcm-send/lib/header.php on line 45
[Wed Dec 30 14:57:19 2015] [error] [client 127.0.0.1] PHP Fatal error:  require_once(): Failed opening required '/Users/GS/gcm-send/cDB.class.php' (include_path='.:') in /Users/GS/gcm-send/lib/header.php on line 45
[Wed Dec 30 15:00:51 2015] [error] [client 127.0.0.1] File does not exist: /Users/GS/gcm-send/favicon.ico, referer: http://local.gcm-send.com/
